Movie Name,Director,Release Year,My Rating,Genre,Own
True Grit,Joel and Ethan Coen,2010,8.30,Western,No
Django Unchained,Quentin Tarantino,2012,8.29,Western,No
We Need to Talk About Kevin,Lynne Ramsay,2011,8.29,Thriller,No
C.R.A.Z.Y.,Jean-Marc Vallee,2005,8.28,Foreign,No
Forgetting Sarah Marshall,Nicholas Stoller,2008,8.28,Comedy,No
Shrek,Andrew Adamson,2001,8.28,Family,No
Traffic,Steven Soderberg,2000,8.28,Drama,Yes
American History X,Jerry Zucker,1998,8.27,Drama,Yes
Croupier,Mike Hodges,1998,8.27,Thriller,No
Match Point,Woody Allen,2005,8.27,Thriller,Yes
Somersault,Cate Shortland,2004,8.27,Independent,Yes
The Diving Bell and the Butterfly,Julian Schnabel,2007,8.27,Foreign,No
Get Low,Aaron Schneider,2009,8.26,Drama,No
Harold and Muade,Hal Ashby,1971,8.26,Romance,No
Life of Pi,Ang Lee,2012,8.26,Drama,No
The Kids are All Right,Lisa Cholodenko,2010,8.25,Drama,No
The Silence of the Lambs,Jonathan Demme,1991,8.25,Thriller,No
The Hunt,Thomas Vinterberg,2012,8.24,Foreign,No
127 Hours,Danny Boyle,2010,8.23,Drama,No
Dumb and Dumber,Bobby and Peter Farrelly,1994,8.23,Comedy,No
In Good Company,Paul Weitz,2004,8.23,Drama,Yes
Raising Arizona,Joel and Ethan Coen,1987,8.23,Comedy,Yes
Singles,Cameron Crowe,1992,8.23,Romance,Yes
The Girl with the Dragon Tattoo (orignal),Niels Arden Oplev,2009,8.23,Foreign,No
The Green Mile,Frank Darabont,1999,8.23,Drama,Yes
Toy Story 2,John Lasseter,1999,8.23,Family,No
A Christmas Story,Bob Clark,1983,8.22,Comedy,No
Blue Velvet,David Lynch,1986,8.22,Thriller,Yes
Gone Baby Gone,Ben Affleck,2007,8.22,Drama,No
Harry Potter and the Prisoner of Azkaban,Alfonso Cuaron,2004,8.22,Fantasy,No
Moneyball,Bennett Miller,2011,8.22,Sports,No
Spider-Man,Sam Raimi,2002,8.22,Action,Yes
A Very Long Engagement,Jean-Pierre Jeunet,2004,8.21,Foreign,No
Barton Fink,Joel and Ethan Coen,1991,8.21,Drama,No
Diner,Berry Levinson,1982,8.21,Drama,No
Drugstore Cowboy,Gus Van Sant,1989,8.21,Independent,No
How to Train Your Dragon,Chris Sanders,2010,8.21,Family,No
Spirited Away,Hayao Miyazaki,2001,8.21,Family,No
Talk to Her,Pedro Almodovar,2002,8.21,Foreign,No
Wayne's World 2,Stephen Surjik,1993,8.21,Comedy,Yes
Y Tu Mama Tambien,Alfonso Cuaron,2001,8.21,Foreign,No
A Clockwork Orange,Stanley Kubrick,1971,8.20,Sci-Fi,No
Blue is the Warmest Color,Abdellatif Kechiche,2013,8.20,Foreign,No
Brazil,Terry Gilliam,1985,8.20,Sci-Fi,No
Terminator 2: Judgement Day,James Cameron,1991,8.20,Sci-Fi,No
One Flew Over the Cuckoo's Nest,Milos Forman,1975,8.18,Drama,No
Dallas Buyers Club,Jean-Marc Vallee,2013,8.17,Drama,No
Source Code,Duncan Jones,2011,8.17,Sci-Fi,No
The Girl with the Dragon Tattoo,David Fincher,2011,8.17,Thriller,No
The Perks of Being a Wallflower,Stephen Chbosky,2012,8.17,Romance,No
Cutie and the Boxer,Zachary Heinzerling,2013,8.15,Documentary,No
The Angels' Share,Ken Loach,2012,8.15,Comedy,No
Gonzo,Alex Gibney,2007,8.14,Documentary,No
Ballast,Lance Hammer,2008,8.13,Independent,No
Inside Man,Spike Lee,2006,8.13,Thriller,No
The Experiment,Oliver Hirschbiegel,2001,8.13,Thriller,No
The Virgin Suicides,Sofia Coppola,1999,8.13,Drama,No
X-Men: Days of Future Past,Bryan Singer,2014,8.13,Action,No
I'm Not Scared,Gabriele Salvatores,2003,8.12,Foreign,No
La Femme Nikita,Luc Besson,1990,8.12,Action,No
Sideways,Alexander Payne,2004,8.12,Comedy,Yes
Superbad,Greg Mottola,2007,8.12,Comedy,No
"4 Months, 3 Weeks and 2 Days",Cristian Mungiu,2007,8.11,Foreign,No
Back to the Future II,Robert Zemeckis,1989,8.11,Action,No
Primer,Shane Carruth,2004,8.11,Sci-Fi,No
Revolutionary Road,Sam Mendes,2008,8.11,Drama,Yes
Best in Show,Christopher Guest,2000,8.10,Comedy,No
Drew: The Man Behind the Poster,Erik Sharkey,2013,8.10,Documentary,No
Pirates of the Caribbean: Black Pearl,Gore Verbinski,2003,8.10,Action,No
Saving Mr. Banks,John Lee Hancock,2013,8.10,Drama,No
The Conjuring,James Wan,2013,8.09,Horror,No
Captain America: The Winter Soldier,Anthony and Joe Russo,2014,8.08,Action,No
Enemy,Denis Villeneuve,2013,8.07,Thriller,No
Big Fan,Robert D. Siegel,2009,8.05,Sports,No
Breaking Away,Peter Yates,1979,8.05,Sports,No
Candy,Neil Armfield,2006,8.05,Romance,No
Compliance,Craig Zobel,2012,8.05,Thriller,No
Ed Wood,Tim Burton,1994,8.05,Comedy,No
Fruitvale Station,Ryan Coogler,2013,8.05,Independent,No
Indie Game: The Movie,James Swirsky,2012,8.05,Documentary,No
It's a Disaster,Todd Berger,2013,8.05,Independent,No
The Dirties,Matt Johnson,2013,8.05,Independent,No
