,TrainSet,Experiment,Overall,Kappa,UBarren,UForest,UGrass,UImperv,UDev,UWater,PBarren,PForest,PGrass,PImperv,PDev,PWater,Error,Allocation,Quantity,Exchange,Shift,size
Barren54,Samp75,s4.dbf,95.7889686,0.8512,48.4,99.3,80.3,58.8,47.2,96.9,33.2,96.9,94,74.3,63.6,95.3,4.211031404,1.934197466,2.276833938,1.646233999,0.287963467,75
Barren55,Samp75,s5.dbf,94.94200063,0.8211,52,98.8,78,59.7,29.6,96.1,29.4,96.4,91.4,58.7,69.9,97.5,5.057999374,2.614484489,2.443514885,2.177869938,0.436614551,75
Barren56,Samp75,s6.dbf,95.76678462,0.8566,51.7,98.7,82,59.8,72,97.2,26.2,98.1,92.4,70,42.5,97.7,4.233215377,2.668640454,1.564574923,2.172178429,0.496462025,75
Barren57,Samp75,s7.dbf,95.77041517,0.8566,38.6,98.3,86.3,56,56.3,97.3,34.1,97.9,87.5,78.2,61.4,93.9,4.229584833,3.750157064,0.479427769,3.367820199,0.382336865,75
Barren58,Samp75,s8.dbf,96.4263209,0.8762,52.8,99.4,84.5,54.9,56.7,96.2,33.1,97.9,93.7,75,58.7,96.9,3.573679097,2.052103239,1.521575858,1.806443149,0.24566009,75
Barren59,Samp75,s9.dbf,95.83259608,0.8552,48.5,99.2,80.7,58.6,58.2,95.1,34,97.5,93.5,55.8,53.4,95,4.167403923,2.414410699,1.752993224,1.826262184,0.588148515,75
Barren60,Samp50,s1.dbf,95.78486354,0.8549,43.2,99.1,80.5,57.3,65.4,96,27.2,97.8,93.7,66.9,42.1,95.4,4.215136463,2.299113758,1.916022705,2.050418916,0.248694842,50
Barren61,Samp50,s10.dbf,95.9250984,0.8613,48.2,98.9,82.6,52.3,71.1,97.3,33,98.1,94.5,76.6,38.1,90.2,4.074901597,2.212032723,1.862868874,1.753765192,0.458267531,50
Barren62,Samp50,s2.dbf,95.75504318,0.8585,49,98.1,86.9,51.7,62.2,96.7,20.8,98.5,87.3,81.1,56.4,98.8,4.244956815,3.550748588,0.694208228,3.163787595,0.386960992,50
Barren63,Samp50,s3.dbf,96.08841926,0.8652,53.8,99.1,82.7,62.9,59,95.9,29.5,97.8,93.4,75.3,57.3,91.9,3.911580745,2.305199237,1.606381508,1.931699556,0.373499681,50
Barren64,Samp50,s4.dbf,95.89644579,0.8589,45.3,99,81.6,52.5,68.7,98.5,34.6,97.8,94.2,82.1,41.1,90.9,4.103554214,2.097891811,2.005662403,1.815421857,0.282469954,50
Barren65,Samp50,s5.dbf,95.27557717,0.8399,59.2,98.5,80.1,57.3,65.9,95.8,21,97.9,89.8,69,51.7,97.7,4.724422834,3.153848833,1.570574001,2.805628401,0.348220433,50
Barren66,Samp50,s6.dbf,96.38057868,0.8772,44.6,98.8,87.4,58.5,59.8,98.1,38.8,98.3,92,75.7,50.5,91.4,3.61942132,2.795534833,0.823886487,2.42411277,0.371422063,50
Barren67,Samp50,s7.dbf,94.73271886,0.8217,48.7,98.1,80,57,62.6,91.5,25.3,97.6,85.9,59.9,50.7,96.2,5.267281143,4.243270916,1.024010227,3.879703252,0.363567664,50
Barren68,Samp50,s8.dbf,96.59065019,0.8835,45.6,99.1,86.9,61.3,59.8,97.7,36.8,98.2,93.5,74,51.7,94.3,3.409349813,2.358609112,1.050740701,2.088490111,0.270119001,50
Barren69,Samp50,s9.dbf,95.72290582,0.8511,46.6,99.3,78,57.8,69.5,98.2,27.1,97.4,95.2,77.5,45.3,93.4,4.277094177,1.761924008,2.515170169,1.504648253,0.257275756,50
Barren70,Samp25,s1.dbf,95.75931452,0.8562,33.7,98.9,82.2,39.3,71.8,98.7,21.5,98.3,94.8,63.1,33.8,92.4,4.240685483,2.231839156,2.008846327,1.690215849,0.541623306,25
Barren71,Samp25,s10.dbf,95.55810404,0.846,59.6,99.1,77.8,60.5,67.7,98.8,38.4,97.4,95.3,65.4,46.6,86.6,4.441895956,2.025390542,2.416505414,1.526484606,0.498905936,25
Barren72,Samp25,s2.dbf,95.10847615,0.8331,61.1,98.6,79.5,61.2,43.2,95.8,27,97.7,88.7,46.6,62.1,93,4.891523848,3.283099823,1.608424026,2.732770956,0.550328866,25
Barren73,Samp25,s3.dbf,95.2371462,0.8442,46.4,97.5,87.3,51.1,69.6,94.1,34.1,98.7,87.3,70.7,34.8,88.5,4.762853798,3.537092655,1.225761143,2.775952268,0.761140387,25
Barren74,Samp25,s4.dbf,95.7508677,0.8548,50.9,99,80.8,47.3,70.7,98.5,32.3,98,94.3,61.2,39.5,91.1,4.249132297,2.219052833,2.030079465,1.690294599,0.528758234,25
Barren75,Samp25,s5.dbf,95.67659368,0.8537,49.1,98.7,82.8,40,68.4,97.4,24.3,98.2,93,73.3,36,96.6,4.323406315,2.560273177,1.763133138,2.151522858,0.408750319,25
Barren76,Samp25,s6.dbf,95.53703898,0.8459,50.5,99.2,79,26.8,71,97.3,25.8,97.7,95.7,59.2,36.2,94.4,4.462961019,1.782772851,2.680188167,1.423593743,0.359179108,25
Barren77,Samp25,s7.dbf,94.99916974,0.8319,52.1,98.2,80,50.6,73.5,97.1,30.4,98,88.1,58.8,39.6,96.1,5.000830259,3.699771366,1.301058892,3.271839427,0.427931939,25
Barren78,Samp25,s8.dbf,95.15633109,0.8358,53.6,98.5,84.8,60.1,35.7,77.6,20.1,98,88,46.2,67.5,98,4.843668912,3.484632267,1.359036645,2.873472017,0.61116025,25
Barren79,Samp25,s9.dbf,95.4506309,0.8492,46.2,98,85.5,43.6,77.2,95.7,24.4,98.5,88.7,57.9,43.7,95.9,4.549369096,3.448430567,1.100938529,3.204876893,0.243553673,25
Barren80,Samp10,s1.dbf,92.12762077,0.7515,62.3,95.1,76.1,65.1,71.6,98.8,20.6,98,71.8,75.1,40,91.5,7.872379232,5.30954042,2.562838812,3.615533156,1.694007264,10
Barren81,Samp10,s10.dbf,94.3087887,0.8104,68.5,97.9,76.5,43.2,65.6,97.4,18.5,98.1,85.5,55.9,46.4,94.8,5.691211296,4.053328939,1.637882357,3.647315699,0.40601324,10
Barren82,Samp10,s2.dbf,89.38791452,0.6811,36.9,91.3,82.1,56.2,59.1,94.4,38.3,97.2,59.4,56.5,53,93.2,10.61208548,5.570909312,5.041176168,4.448752498,1.122156815,10
Barren83,Samp10,s3.dbf,94.38063501,0.7989,65,99.5,70.1,47.7,16.7,97.8,21.2,96.3,96.5,29.7,64.4,94.6,5.619364989,1.426882065,4.192482924,0.88781922,0.539062845,10
Barren84,Samp10,s4.dbf,94.65261473,0.8157,42,98.6,76.2,54.2,58.4,94.1,27,97.1,92.8,44.8,45.9,80.3,5.347385269,3.059262812,2.288122457,2.145563603,0.913699209,10
Barren85,Samp10,s5.dbf,95.51265499,0.849,64.4,98.5,83.1,33.8,67.5,97.6,29.5,98.2,91.4,66.2,40,90.2,4.487345008,2.9265066,1.560838408,2.480076129,0.446430471,10
Barren86,Samp10,s6.dbf,94.84098691,0.8221,57.2,98.9,76.9,64.3,58,82.3,23.1,97.4,92.7,55,41.2,91.4,5.15901309,2.752752214,2.406260877,2.154195815,0.598556398,10
Barren87,Samp10,s7.dbf,95.08303603,0.8321,41.9,98.6,78.7,39.1,67.8,98.9,21,97.7,92.4,40.7,46.7,89.6,4.916963969,2.986634867,1.930329102,2.307174031,0.679460837,10
Barren88,Samp10,s8.dbf,95.89225298,0.8608,49.9,98.6,86.6,34.9,57,97.2,32.9,98.2,89.1,55.2,55.2,94.8,4.107747023,3.45763832,0.650108702,2.936435465,0.521202855,10
Barren89,Samp10,s9.dbf,95.35751726,0.8418,38.7,99.1,79,24.6,71.8,98.2,19.4,98.1,95.7,62.5,31.6,87.2,4.642482737,1.92360486,2.718877877,1.414563287,0.509041573,10
