wav,reflec
1.93E+00,0.0434
1.93E+00,0.0409
1.94E+00,0.0478
1.95E+00,0.048
1.96E+00,0.0513
1.98E+00,0.0583
1.99E+00,0.0649
2.00E+00,0.0728
2.01E+00,0.0798
2.02E+00,0.0854
2.03E+00,0.0947
2.04E+00,0.103
2.05E+00,0.111
2.06E+00,0.115
2.07E+00,0.125
2.08E+00,0.131
2.09E+00,0.139
2.10E+00,0.146
2.11E+00,0.155
2.12E+00,0.158
2.13E+00,0.164
2.14E+00,0.174
2.15E+00,0.174
2.16E+00,0.176
2.17E+00,0.18
2.18E+00,0.182
2.18E+00,0.188
2.19E+00,0.192
2.21E+00,0.192
2.22E+00,0.196
2.23E+00,0.196
2.24E+00,0.192
2.25E+00,0.188
2.26E+00,0.182
2.27E+00,0.169
2.28E+00,0.161
2.29E+00,0.169
2.30E+00,0.165
2.31E+00,0.163
2.32E+00,0.144
2.33E+00,0.133
2.34E+00,0.133
2.35E+00,0.125
2.36E+00,0.12
2.37E+00,0.117
2.38E+00,0.115
2.39E+00,0.104
2.40E+00,0.0988
2.42E+00,0.0834
2.44E+00,0.0736
2.47E+00,0.0615
2.50E+00,0.0494
2.53E+00,0.044
2.56E+00,0.0456
2.59E+00,0.041
