Decimal_Year,MSL (ft)
1983.75,1.925
1983.83,2.037
1983.92,1.647
1984.00,1.456
1984.08,1.506
1984.17,1.656
1984.25,1.955
1984.33,1.716
1984.42,1.847
1984.50,1.788
1984.58,1.896
1984.67,1.758
1984.75,1.896
1984.83,1.837
1984.92,1.597
1985.00,1.558
1985.08,1.446
1985.17,1.427
1985.25,1.535
1985.33,1.716
1985.42,1.758
1985.50,1.758
1985.58,1.817
1985.67,1.906
1985.75,1.778
1985.83,1.896
1985.92,1.637
1986.00,1.296
1986.08,1.607
1986.17,1.315
1986.25,1.827
1986.33,1.725
1986.42,1.706
1986.50,1.916
1986.58,1.807
1986.67,1.735
1986.75,1.857
1986.83,1.627
1986.92,1.588
1987.00,1.758
1987.08,1.427
1987.17,1.817
1987.25,1.758
1987.33,1.627
1987.42,1.798
1987.50,1.886
1987.58,1.847
1987.67,1.788
1987.75,1.686
1987.83,1.627
1987.92,1.837
1988.00,1.348
1988.08,1.515
1988.17,1.348
1988.25,1.866
1988.33,1.597
1988.42,1.768
1988.50,1.656
1988.58,1.725
1988.67,1.627
1988.75,1.706
1988.83,1.588
1988.92,1.456
1989.00,1.387
1989.08,1.338
1989.17,1.305
1989.25,1.397
1989.33,1.525
1989.42,1.696
1989.50,1.706
1989.58,1.857
1989.67,1.745
1989.75,1.725
1989.83,1.676
1989.92,1.305
1990.00,1.305
1990.08,1.387
1990.17,1.246
1990.25,1.368
1990.33,1.696
1990.42,1.725
1990.50,1.716
1990.58,1.847
1990.67,1.827
1990.75,1.788
1990.83,1.627
1990.92,1.446
1991.00,1.535
1991.08,1.456
1991.17,1.798
1991.25,1.548
1991.33,1.696
1991.42,1.866
1991.50,1.857
1991.58,1.788
1991.67,1.758
1991.75,1.876
1991.83,1.807
1991.92,1.617
1992.00,1.666
1992.08,1.716
1992.17,1.627
1992.25,1.627
1992.33,1.607
1992.42,1.886
1992.50,1.916
1992.58,1.745
1992.67,1.745
1992.75,1.758
1992.83,1.686
1992.92,1.735
1993.00,1.525
1993.08,1.745
1993.17,1.506
1993.25,1.925
1993.33,1.807
1993.42,1.837
1993.50,1.916
1993.58,1.886
1993.67,1.837
1993.75,1.735
1993.83,1.597
1993.92,1.745
1994.00,1.184
1994.08,1.374
1994.17,1.584
1994.25,1.387
1994.33,1.775
1994.42,1.666
1994.50,1.748
1994.58,1.738
1994.67,1.87
1994.75,1.814
1994.83,1.529
1994.92,1.643
1995.00,1.499
1995.08,1.371
1995.17,1.538
1995.25,1.496
1995.33,1.834
1995.42,1.643
1995.50,1.798
1995.58,1.971
1995.67,1.909
1995.75,1.889
1995.83,1.912
1995.92,1.742
1996.00,1.798
1996.08,1.574
1996.17,1.538
1996.25,1.857
1996.33,1.778
1996.42,1.821
1996.50,1.929
1996.58,1.87
1996.67,2.27
1996.75,2.145
1996.83,1.978
1996.92,2.001
1997.00,1.748
1997.08,1.663
1997.17,1.752
1997.25,2.109
1997.33,1.821
1997.42,1.998
1997.50,1.857
1997.58,1.952
1997.67,1.948
1997.75,1.985
1997.83,1.985
1997.92,1.807
1998.00,1.922
1998.08,2.165
1998.17,1.784
1998.25,1.994
1998.33,2.106
1998.42,2.076
1998.50,2.063
1998.58,1.942
1998.67,2.07
1998.75,1.843
1998.83,1.761
1998.92,1.656
1999.00,1.515
1999.08,1.906
1999.17,1.67
1999.25,1.86
1999.33,1.821
1999.42,1.791
1999.50,1.965
1999.58,2.034
1999.67,1.991
1999.75,1.85
1999.83,1.693
1999.92,1.64
2000.00,1.437
2000.08,1.302
2000.17,1.709
2000.25,1.758
2000.33,1.899
2000.42,1.834
2000.50,2.014
2000.58,1.942
2000.67,1.945
2000.75,1.827
2000.83,1.981
2000.92,1.427
2001.00,1.679
2001.08,1.364
2001.17,1.801
2001.25,1.693
2001.33,1.811
2001.42,1.847
2001.50,1.952
2001.58,1.942
2001.67,2.06
2001.75,1.906
2001.83,1.752
2001.92,1.781
2002.00,1.515
2002.08,1.771
2002.17,1.368
2002.25,1.571
2002.33,1.637
2002.42,1.824
2002.50,1.899
2002.58,1.912
2002.67,2.001
2002.75,2.017
2002.83,1.752
2002.92,1.712
2003.00,1.548
2003.08,1.187
2003.17,1.614
2003.25,1.716
2003.33,1.801
2003.42,1.968
2003.50,1.948
2003.58,1.985
2003.67,2.093
2003.75,1.939
2003.83,1.804
2003.92,1.729
2004.00,1.515
2004.08,1.453
2004.17,1.571
2004.25,1.617
2004.33,1.696
2004.42,1.87
2004.50,1.912
2004.58,1.912
2004.67,1.981
2004.75,2.237
2004.83,1.932
2004.92,1.824
2005.00,1.824
2005.08,1.801
2005.17,1.906
2005.25,2.063
2005.33,2.149
2005.42,2.08
2005.50,2.093
2005.58,2.07
2005.67,2.008
2005.75,2.132
2005.83,1.906
2005.92,1.716
2006.00,1.801
2006.08,1.712
2006.17,1.712
2006.25,1.791
2006.33,2.063
2006.42,2.017
2006.50,2.014
2006.58,2.096
2006.67,2.172
2006.75,2.132
2006.83,2.021
2006.92,1.637
2007.00,1.62
2007.08,1.348
2007.17,1.348
2007.25,1.893
2007.33,1.666
2007.42,2.06
2007.50,2.001
2007.58,2.014
2007.67,1.889
2007.75,2.053
2007.83,1.817
2007.92,1.64
2008.00,1.643
2008.08,1.581
2008.17,1.656
2008.25,1.752
2008.33,2.129
2008.42,2.001
2008.50,1.968
2008.58,2.014
2008.67,2.014
2008.75,2.093
2008.83,2.001
2008.92,1.568
2009.00,1.578
2009.08,1.722
2009.17,1.712
2009.25,1.817
2009.33,1.801
2009.42,2.254
2009.50,2.224
2009.58,2.053
2009.67,2.129
2009.75,2.28
2009.83,2.162
2009.92,1.903
2010.00,1.945
2010.08,2.158
2010.17,2.306
2010.25,2.119
2010.33,2.001
2010.42,2.214
2010.50,2.119
2010.58,2.224
2010.67,2.257
2010.75,2.208
2010.83,2.168
2010.92,2.165
2011.00,1.853
2011.08,1.784
2011.17,1.807
2011.25,1.929
2011.33,2.191
2011.42,2.306
2011.50,2.273
2011.58,2.329
2011.67,2.227
2011.75,2.286
2011.83,1.955
2011.92,1.843
2012.00,1.719
2012.08,1.699
2012.17,1.784
2012.25,2.047
2012.33,1.942
2012.42,2.3
2012.50,2.175
2012.58,2.178
2012.67,2.067
2012.75,2.286
2012.83,2.135
2012.92,2.119
2013.00,1.65
2013.08,1.712
2013.17,2.168
2013.25,1.778
2013.33,1.83
2013.42,2.119
2013.50,2.195
2013.58,2.198
2013.67,2.178
2013.75,2.211
2013.83,1.784
2013.92,1.738
2014.00,1.679
2014.08,1.532
2014.17,1.679
2014.25,1.903
2014.33,2.021
2014.42,2.086
2014.50,2.086
